Nr;Station;Ort;Latitude;Longitude;Erklärung;Englisch
1;Main Tower;Frankfurt – Main Tower;501096;86724;"Der Main Tower in Frankfurt am Main ist ein 200 Meter hoher Wolkenkratzer mit öffentlich zugänglicher Aussichtsplattform. Das 2000 eröffnete Hochhaus prägt mit seiner Glasfassade die Frankfurter Skyline und zählt zu den höchsten Gebäuden Deutschlands; von 198 Metern Höhe genießt man einen Rundblick über die Stadt.";"The Main Tower in Frankfurt am Main is a 200 meter high skyscraper with a publicly accessible viewing platform. The high-rise, which opened in 2000, shapes the Frankfurt skyline with its glass facade and is one of the tallest buildings in Germany; From a height of 198 meters you can enjoy a panoramic view of the city."
2;Finanzmetropole;Frankfurt – Römer;501106;86821;Frankfurt am Main zählt als Finanzmetropole zu den wichtigsten Bankenstandorten Europas. Sitz der Europäischen Zentralbank und zahlreicher Großbanken, verleiht die Skyline mit den meisten Wolkenkratzern Deutschlands der Stadt den Spitznamen „Mainhattan“.;As a financial metropolis, Frankfurt am Main is one of the most important banking locations in Europe. Home to the European Central Bank and numerous major banks, the skyline with the most skyscrapers in Germany gives the city its nickname “Mainhattan”.
3;Kurtradition;Wiesbaden – Kurhaus;500826;82435;Wiesbaden gilt seit dem 19. Jahrhundert als mondäne Kurstadt. Das neoklassizistische Kurhaus von 1907, Thermalquellen und weitläufige Kurparks spiegeln bis heute die historische Wellness-Kultur wider.;Wiesbaden has been considered a sophisticated spa town since the 19th century. The neoclassical spa house from 1907, thermal springs and extensive spa parks still reflect the historical wellness culture today.
4;Johannes Gutenberg;Mainz – Gutenberg-Museum;499983;82711;Johannes Gutenberg revolutionierte um 1450 in Mainz den Buchdruck mit beweglichen Lettern. Das Gutenberg-Museum zeigt u. a. zwei Gutenberg-Bibeln und demonstriert an historischen Pressen die Technik, die das Lesen weltweit veränderte.;Johannes Gutenberg revolutionized book printing with movable type in Mainz around 1450. The Gutenberg Museum shows, among other things: two Gutenberg Bibles and demonstrates on historical presses the technology that changed reading worldwide.
5;Weinfest;Rüdesheim – Drosselgasse;499992;79433;Die Drosselgasse in Rüdesheim ist eine 144 Meter lange Fachwerkgasse voller Weinstuben. Ihre Weinfeste mit Live-Musik repräsentieren die gesellige Rheingauer Weinkultur.;The Drosselgasse in Rüdesheim is a 144 meter long half-timbered alley full of wine bars. Their wine festivals with live music represent the convivial Rheingau wine culture.
6;Helene Fischer;Wöllstein – Geburtsort;49804;7967;Helene Fischer (*1984) wuchs in Wöllstein auf und wurde zur erfolgreichsten deutschen Schlagersängerin. Hits wie „Atemlos durch die Nacht“ und zahlreiche Auszeichnungen prägen ihre Karriere.;Helene Fischer (*1984) grew up in Wöllstein and became the most successful German pop singer. Hits like “Breathless through the Night” and numerous awards shape her career.
7;Loreley;St. Goar – Loreleyfelsen;501389;77089;Der 132 Meter hohe Loreley-Felsen am Rhein ist sagenumwoben: Eine Nixe soll mit ihrem Gesang Schiffer ins Verderben gelockt haben. Heute ist der Aussichtspunkt Teil des UNESCO-Welterbes Oberes Mittelrheintal.;The 132 meter high Loreley Rock on the Rhine is shrouded in legend: a mermaid is said to have lured boatmen to their doom with her singing. Today the viewpoint is part of the Upper Middle Rhine Valley UNESCO World Heritage Site.
8;Weinbau;Boppard – Rheinschleife;501172;76071;An der Rheinschleife bei Boppard wachsen auf steilen Schieferhängen Riesling-Reben. Der Bopparder Hamm dokumentiert seit Jahrhunderten die Weinbautradition des Mittelrheins.;Riesling vines grow on steep slate slopes on the Rhine loop near Boppard. The Bopparder Hamm has documented the wine-growing tradition of the Middle Rhine for centuries.
9;Deutsches Eck;Koblenz – Deutsches Eck;503569;75881;Am Deutschen Eck fließen Mosel und Rhein zusammen. Das Reiterstandbild Kaiser Wilhelms I. (1897) erinnert an die Reichsgründung und wurde nach 1945 zum Symbol der deutschen Einheit.;The Moselle and Rhine flow together at the Deutsches Eck. The equestrian statue of Kaiser Wilhelm I (1897) commemorates the founding of the empire and became a symbol of German unity after 1945.
10;Autobahn Erlebnis;Nürburgring – GP-Strecke;503341;69476;Deutschlands Autobahnen sind für fehlende Tempolimits bekannt. Auf der Nordschleife des Nürburgrings können Fahrer Hochgeschwindigkeit legal erleben – ein kontrolliertes Pendant zum Autobahnrausch.;Germany's highways are known for their lack of speed limits. On the Nordschleife of the Nürburgring, drivers can legally experience high speeds - a controlled counterpart to the rush of the motorway.
11;Beethoven;Bonn – Beethoven-Haus;507368;7101;Ludwig van Beethoven (1770–1827) wurde in Bonn geboren. Sein Geburtshaus bewahrt Originalinstrumente und Handschriften des Komponisten, dessen Werke die klassische Musik bis heute prägen.;Ludwig van Beethoven (1770–1827) was born in Bonn. The house where he was born preserves the original instruments and manuscripts of the composer, whose works continue to shape classical music today.
12;Kölner Karneval;Köln – Alter Markt;509403;6957;Der Kölner Karneval, seit 1823 organisiert, verwandelt die Stadt vom 11. 11. bis Aschermittwoch in ein buntes Volksfest. Höhepunkt ist der Rosenmontagszug mit Hunderttausenden kostümierten Jecken.;The Cologne Carnival, organized since 1823, transforms the city into a colorful folk festival from November 11th to Ash Wednesday. The highlight is the Rose Monday parade with hundreds of thousands of costumed jesters.
13;Konrad Adenauer;Köln – Adenauer-Haus;509413;69583;Konrad Adenauer (1876–1967) war Kölner Oberbürgermeister und erster Bundeskanzler der Bundesrepublik. Sein Wohnhaus in Rhöndorf erzählt von seinem Einsatz für Wiederaufbau und Westbindung.;Konrad Adenauer (1876–1967) was the mayor of Cologne and the first chancellor of the Federal Republic. His home in Rhöndorf tells of his commitment to reconstruction and ties to the West.
14;Neandertaler Fund;Mettmann – Neanderthal Museum;512275;6937;Der 1856 gefundene Neandertaler-Schädel revolutionierte das Verständnis menschlicher Evolution. Das Neanderthal Museum veranschaulicht die Geschichte unserer fossilen Verwandten.;The Neanderthal skull found in 1856 revolutionized the understanding of human evolution. The Neanderthal Museum illustrates the history of our fossil relatives.
15;Rheinmetropole;Düsseldorf – Rheinturm;512277;67735;Düsseldorf verbindet Altstadt, Mode- und Messekultur mit moderner Architektur im Medienhafen. Der Rheinturm bietet einen Panoramablick auf die Rheinmetropole und ihre Kunst- und Shopping-Szene.;Düsseldorf combines old town, fashion and trade fair culture with modern architecture in the media harbor. The Rhine Tower offers a panoramic view of the Rhine metropolis and its art and shopping scene.
16;Stahl & Kultur;Duisburg – Innenhafen;514344;67573;Der Duisburger Innenhafen, einst Speicher- und Handelshafen, wurde zum Kultur- und Büroquartier umgestaltet. Restaurierte Speicher und Museen zeigen den erfolgreichen Strukturwandel von Stahl zu Kultur.;The Duisburg inner harbor, once a storage and trading port, was transformed into a cultural and office district. Restored granaries and museums show the successful structural change from steel to culture.
17;Ruhrindustrie;Essen – Zeche Zollverein;514839;70226;Die stillgelegte Zeche Zollverein, ein Bauhaus-Industrie-Ensemble, ist UNESCO-Welterbe. Ausstellungen und Events lassen die Bergbaugeschichte des Ruhrgebiets lebendig werden.;The disused Zollverein mine, a Bauhaus industrial ensemble, is a UNESCO World Heritage Site. Exhibitions and events bring the mining history of the Ruhr area to life.
18;UNESCO Zollverein;Essen – Kokerei Zollverein;5149;70375;Die Kokerei Zollverein verarbeitete bis 1993 Kohle zu Koks und ist heute Teil des Weltkulturerbes. Besucher erkunden Fördertürme, Öfen und Aussichtsplattformen eines herausragenden Industriedenkmals.;The Zollverein coking plant processed coal into coke until 1993 and is now part of the world cultural heritage. Visitors explore the winding towers, furnaces and viewing platforms of an outstanding industrial monument.
