Deutsch;Englisch
ausfüllen;to fill out
heißen;to be named
unterschreiben  ;to sign
heiraten;to marry
besuchen;to visit
grüßen;to greet
gratulieren;to congratulate
danken;to thank
kommen;to come
helfen;to help
verstehen;to understand
sprechen;to speak
aufschreiben;to write down
entschuldigen;to apologize
kennenlernen;to get to know
sein;to be
sich vorstellen;to introduce oneself
wohnen;to live in
haben;to have
sagen;to say
männlich;male
weiblich;female
ledig;single
verheiratet;married
geschieden;divorced
verwitwet;widowed
gut;good
schlecht;bad
privat;privat
deutsch;german
ein bisschen;a little
schön;nice
Hallo;hello
Guten Tag;good day
Herzlichen Glückwunsch;congratulations
bitte;please
danke;thank you
Auf Wiedersehen;good bye
tschüss;bye
ja;yes
nein;no
Entschuldigung;sorry
willkommen;welcome
auch;too
und;and
wer;who
was;what
woher;where
welche;which
wie;how
die Adresse;the address
der Name;the name
der Vorname;the first name
der Familienname;the second name
die Straße;the street
die Hausnummer;the street number
der Ort;the place
die Postleitzahl;postal code
der Geburtsort;place of birth
das Geburtsjahr;year of birth
das Geburtsdatum;date of birth
das Formular;the form
das Alter;the age
die Unterschrift;the signature
der Familienstand;the marital status
die Papiere;the papers
der Ausweis;the ID-Card
der Pass;the passport
der Geburtstag;the birthday
die Einladung;the invitation
die Torte;the pie
das Geschenk;the present
der Gast;the guest
die Frau;the woman
der Mann;the man
der Junge;the boy
das Mädchen;the girl
das Kind;the child
die Handynummer;the cellphone number
die Nummer;the number
das Alphabet;the alphabet
der Artikel;the article
die Person;the person
die Sprache;the language
die Dame;the lady
Deutschland;Germany
ich;i
du;You – informal - singular
er;he
sie (singular);she
es;it
wir;we
ihr;you - plural
sie (plural);they
Sie (formell Du);you - formal - singular
mein;my
dein;yours
sein;his
ihr (singular);hers
sein;it's
unser;ours
euer;yours
ihr (plural);theirs
Ihr (formell Du);yours - formal - singular
Okay ich fülle das Formular aus.;okay, I fill out the form.
Wie heißen die deutschen Artikel?;What are the German articles called?
Unterschreiben sie bitte das Formular.;Please sign the form.
Die Frau heiratet den Mann.;The woman marries the man.
Nein wir besuchen dich nicht.;No we don`t visit you.
Nein der Mann grüßt das Kind.;No, the man greets the child.
Ich gratuliere dir zum Geburtstag.;I congratulate you to your birthday.
Ich danke dir für das Geschenk.;Thank you for the present.
Sie kommt aus Deutschland.;She comes from Germany.
Ja ich helfe der Frau.;Yes, I help the woman.
Nein ich verstehe kein deutsch.;No, I don`t understand German.
Nein ich spreche nicht arabisch.;No, I don`t speak arabic.
Schreiben sie bitte ihren Namen auf.;Please write down your name.
Entschuldigen sie bitte.;Excuse me.
Schön sie kennenzulernen.;Nice to get to know you.
Die Person ist männlich;This person is male.
Stellen sie sich bitte vor.;Please introduce yourself.
Ich wohne in Bautzen.;I live in Bautzen.
Ich habe eine Frau und ein Kind.;I have a wife and one child.
Was sage ich meiner Frau?;What do I tell my wife?
Ich bin Thomas.;I am thomas.
Du bist Alfred.;You are Alfred.
Er ist Ahmad.;He is Ahmad.
Sie ist Monique.;She is Monique
Es ist ein Kind.;It is a child.
Wir sind aus Deutschland.;We are from Germany.
Ihr seid schön.;You are beautiful.
Sie helfen dem Kind.;They help the child.
Sie sind eine schöne Frau.;You are a beautiful woman.
Mein Kind heißt Anja.;My child is called Anja.
Dein Alter sagt er nicht.;He doesn`t tell your age.
Seine Adresse ist auf dem Formular.;His adress is on the form.
ihr Geburtsort ist Dresden.;Her place of birth is Dresden.
Seine Frau kommt aus Deutschland.;His wife comes from Germany.
Wir haben unsere Einladung.;We have our invitation.
Euer Kind heißt Ivan.;Your child is called Ivan.
Ich spreche mit ihrem Mann.;I speak with her husband.
Ihr Name ist Herr Müller.;Your Name is Herr Müller.
Ich sage meine Adresse nicht.;I don`t tell my adress.
Mein Name ist Martin Müller.;My Name is Martin Müller.
Mein Vorname ist Martin.;My first name is Martin.
Mein Familienname ist Müller.;My second name is Müller.
Ich wohne in der Hauptstraße.;I live in the main street.
Meine Hausnummer ist 7.;My house number is 7.
Wo ist der Ort?;Where is this place
Ich schreibe meine Postleitzahl auf.;I write down my area code.
Dein Geburtsort ist Berlin.;Your place of birth is berlin.
Dein Geburtsjahr ist 1984.;Your year of birth is 1984.
Mein Geburtsdatum ist der 01.01.1984.;My birthdate is the 01.01.1984.
Ich fülle das Formular aus.;I fill out the form.
Mein Alter sage ich nicht.;I don`t tell my age.
Meine Unterschrift ist unter dem Formular.;my signature is under the form.
Wie ist ihr Familienstand?;What is your marital status?
Ich habe keine Papiere.;I don`t have papers.
Er hat keinen Ausweis.;He doesn`t have an identity card.
Wir haben keinen Pass.;We don`t have a passport.
Es ist dein Geburtstag.;It is your birthday.
Ich habe eine Einladung zum Geburtstag.;I have an invitation to the birthday.
Die Torte ist schön.;The pie is beautiful.
Sie haben ein Geschenk.;They have a present.
Der Gast kommt aus Deutschland.;The guest is from Germany.
Die Frau ist schön.;The woman is pretty.
Der Mann ist ledig.;The man is single.
Der Junge spricht arabisch.;The boy speaks arabic.
Das Mädchen spricht ein bisschen deutsch.;The girl speaks a little bit German.
Das Kind spricht mit der Mutter.;The child is speaking with the mother.
Ich habe keine Handynummer.;I dont have a cell phone number.
Meine Nummer sage ich nicht.;I don`t tell my number.
Ich schreibe das Alphabet auf.;I write down the alphabet.
Das ist ein Artikel.;This is an article.
Die Person ist männlich.;The person is male.
Ich verstehe die deutsche Sprache.;I understand the German language.
Die Dame hilft dem Mann.;The lady helps the man.
Deutschland ist schön.;Germany is beautiful.
Die Person ist männlich.;the person is male.
Nein die Person ist weiblich.;no, the person is female
Ich bin ledig.;I am single.
Ja ich bin verheiratet.;Yes, I am married
Nein ich bin nicht geschieden.;No, I am not divorced.
Ja ich bin verwitwet.;Yes, I am a widowed,
Ja das Geschenk ist gut.;Yes, the present is good.
Nein das Geschenk ist schlecht.;No the present is bad.
Nein das ist nicht privat.;No, that is not privat.
Nein ich spreche kein deutsch.;No, I don`t speak German.
Ich spreche ein bisschen deutsch.;I speak a little bit german.
Ja das Mädchen ist schön.;Yes, the girl is beautiful.
Wer ist die Frau?;Who is this woman?
Ja was ist?;Yes what`s up?
Woher kommen sie?;Where are you from?
Welches Kind ist ihrs?;Which child is yours?
Wie heißen sie?;What is your name?
Hallo ich bin Martin.;Hello I am Martin.
Guten Tag Frau Müller.;Good Day mrs Müller.
Herzlichen Glückwunsch zum Geburtstag.;Happy Birthday.
Bitte schön.;you are welcome.
Danke für das Geschenk.;Thank you for the present
Auf Wiedersehen.;Good bye.
Tschüss.;bye.
Ja ich bin Thomas.;Yes I am Thomas.
Nein ich bin nicht Omar.;No I am not Omar
Entschuldigung.;Sorry.
Willkommen in Deutschland.;Welcome to Germany.
Ich komme auch aus Deutschland.;I am from Germany too.
Ich spreche deutsch und arabisch.;I speak German and Arabic.
vormittags;in the morning
später;later
pünktlich;punctual
zu spät;too late
die Stunde;one hour
eine halbe Stunde;half hour
eine viertel Stunde;quarter hour
die Minute;the minute
die Sekunde;the second
früh;early
spät;late
die Uhrzeit;the time
seit;since
heute;today
gestern;yesterday
vorgestern;the day before yesterday
morgen;tomorrow
übermorgen;the day after tomorrow
morgens;in the morning
mittags;at noon
pünktlich;punctual
abends;at the evening
tagsüber;during the day
nachts;in the night
nachmittags;in the afternoon
jetzt;now
immer;always
nächste;next
stündlich;hourly
täglich;daily
erst;first
wann;when
null;zero
eins;one
zwei;two
drei;three
vier;four
fünf;five
sechs;six
sieben;seven
acht;eight
neun;nine
zehn;ten
elf;eleven
die Zahl;the number
hundert;hundred
hunderteins;onehundred and one
zweihundert;twohundred
tausend;thousand
die Million;million
die Milliarde;billion
neunzehn;nineteen
zwangzig;twenty
einundzwanzig;twentyone
dreißig;thirty
vierzig;forty
fünfzig;fifty
sechzig;sixty
siebzig;seventy
achtzig;eighty
neunzig;ninety
plus;plus
minus;minus
geteilt;divided by
mal;times
das Prozent;the percent
ganz;full
zwölf;twelve
dreizehn;thirteen
vierzehn;fourteen
fünfzehn;fifteen
sechzehn;sixteen
siebzehn;seventeen
achtzehn;eighteen
rechnen;to calculate
schlafen;to sleep
wecken;to wake someone up
aufwachen;to wake up
aufstehen;to stand up
stattfinden;to occur
verabreden;to arrange to meet
anfangen;to start
beginnen;to begin
zählen;to count
warten;to wait
öffnen;to open
schließen;to close
die Woche;the week
der Wochentag;the day of the week
der Werktag;working day
das Wochenende;the weekend
Montag;Monday
Dienstag;Tuesday
Mittwoch;Wednesday
Donnerstag;Thursday
Freitag;Friday
Samstag;Saturday
Sonntag;Sunday
das Jahr;the year
der Herbst;autumn
der Sommer;summer
der Frühling;spring
der Winter;winter
die Jahreszeit;the season
der Monat;the month
der Januar;january
der Februar;february
der März;march
der April;april
der Mai;may
der Juni;june
der Juli;juli
der August;august
der September;september
der Oktober;october
der November;november
der Dezember;december
die Nacht;the night
Guten Morgen;good morning
Guten Abend;good evening
guten Tag;good day
der Abend;the evening
der Mittag;noon
der Morgen;the morning
der Tag;the day of the week
der Vormittag;the morning
der Nachmittag;the afternoon
erste;first
zweite;second
dritte;third
vierte;fourth
fünfte;fifth
sechste;sixth
siebte;seventh
achte;eighth
neunte;nineth
zehnte;tenth
die Hälfte;a half
das Drittel;a third
das Viertel;a quarter
das Fünftel;a fifth
das Sechstel;a sixth
das Siebtel;a seventh
das Achtel;an eights
das Neuntel;a nineth
das Zehntel;a tenth
die Form;the form
der Kreis;the circle
das Dreieck;the triangle
das Viereck;the quadrangle
der Teil;a part
die Uhr;the clock
der Zeiger;the clock pointer
der Termin;the appointment
kommst du vormittags oder nachmittags?;Are you coming in the morning or in the afternoon.
Ich spreche später mit Monika;I speak later with Monika.
ich komme heute nicht pünktlich.;I don`t come on time today.
Du bist zu spät.;You are too late.
Eine Stunde hat 60 Minuten.;One hour has sixty minutes.
30 Minuten sind eine halbe Stunde.;Thirty minutes are half an hour.
Ich komme eine viertel Stunde zu spät.;I come fifteen minutes too late.
Eine Minute hat sechzig Sekunden.;One minute has sixty seconds.
warten sie bitte eine Sekunde.;Please wait one second.
Ich stehe früh auf und schlafe spät.;I stand up early and go to sleep late.
sagen sie mir bitte die Uhrzeit?;Do you tell me the time please?
Ich warte seit Montag.;I wait since Monday.
Heute habe ich Geburtstag.;Today is my birthday.
Gestern war ich in Dresden.;Yesterday I was in Dresden.
Heute ist Mittwoch und vorgestern war Montag.;Today is Wednesday and the day before was Monday.
Heute ist Mittwoch und morgen wird Donnerstag sein.;Today is Wednesday and tomorrow will be Thursday.
Heute ist Mittwoch und übermorgen wird Freitag sein.;Today is Wednesday and the day after tomorrow will be Friday.
Morgens wecke ich mein Kind.;In the morning I wake my child.
Der Termin ist mittags.;The appointment is noon.
Sein sie bitte pünktlich.;Please be on time.
Verabredest du dich Abends mit Michael?;Do you arrange to meet with Michael in the evening?
tagsüber schlafe ich nicht.;I dont sleep during daytime.
nachts schlafe ich immer.;I always sleep in the night.
der Termin ist jetzt und nicht in 30 Minuten.;The appointment is now and not in 30 minutes.
Der nächste Termin ist übermorgen.;The next appointment is the day after tomorrow.
Ich wache stündlich auf.;I wake up every hour.
Sie hilft der Frau täglich.;She helps the woman daily.
Ich komme erst in 40 Minuten.;I come only in 40 minutes.
Wann kommst du?;When do you come?
Eins plus fünf sind sechs.;One plus five are six.
Zwei Minus zwei ist null.;Two minus two is zero.
Drei Mal vier sind zwölf.;Three times four are twelve.
Ich habe sieben oder acht Euro.;I have seven or eight euros.
Neunzig geteilt durch zehn sind neun.;ninety divided by ten is nine.
Die Zahl 11 schreibt man elf.;The number 11 is written elf.
Nach der hundert kommt die hunderteins;After hundred comes hundred one.
fünf mal zweihundert sind tausend.;five times two hundred are thousand.
Tausend mal tausend sind eine Million.;thousand times thousand are a million.
Tausend mal eine Million sind eine Milliarde.;thousand times a million are a billion.
Ich habe neunzehn Euro.;I have nineteen euros.
zwanzig plus dreißig sind fünfzig;Twenty plus thirty are fifty.
Einundzwanzig zweiundzwanzig und jetzt?;Twenty one, twenty two and now?
Vierzig minus eins sind neununddreißig.;Forty minus one are thirty nine.
haben sie sechzig siebzig oder achtzig Euro?;Do you have sixty, seventy or eighty euros?
Fünfzig prozent von vierzehn Euro sind sieben Euro.;Fifty percent of fourteen euro are seven euros.
Ein ganzer Tag hat vierundzwanzig Stunden.;A full day has twenty four hours.
sechsundzwanzig geteilt durch zwei sind dreizehn;twentysix divided by two are thirteen.
Fünfzehn plus drei sind achtzehn.;fivteen plus three are eighteen.
Die Kinder rechnen fünf plus fünf.;The kids calculate five plus five.
Ich schlafe seit zwei Stunden.;I sleep since two hours.
Ich wecke dich um sieben Uhr.;I wake you up at seven o`clock.
Ich wache immer um drei Uhr morgens auf.;I always wake up at three o`clock in the morning.
Wann stehst du auf?;When do you stand up?
Wann findet der Termin statt?;When is the appointment happening?
Wann seid ihr verabredet?;When are you meeting?
wann fängt der Sommer an?;When does the summer begin?
Die Woche beginnt am Montag.;The week begins on Monday.
Das Kind zählt bis zehn.;The child counts till ten.
Er wartet auf die Frau.;He waits for the woman.
Wann öffnet der Supermarkt?;When opens the supermarket?
Der Supermarkt schließt um sieben Uhr.;The supermarket closes at seven o`clock.
Eine Woche hat sieben Tage.;One week has seven days.
Welcher Wochentag ist heute?;Which weekday is today?
Die Werktage sind Montag Dienstag Mittwoch Donnerstag und Freitag.;The working days are Monday Tuesday Wednesday Thursday and Friday.
Das Wochenende sind Samstag und Sonntag.;The weekend are Saturday and Sunday.
Nächstes Wochenende komme ich nicht.;Next weekend I don`t come.
In einem Jahr bin ich 18 Jahre alt.;In one year I am 18 years old.
Der Herbst kommt nach dem Sommer.;The fall comes after the summer.
Der Winter kommt vor dem Frühling.;The winter comes before spring.
Welche Jahreszeit haben wir?;Which season do we have?
Welchen Monat haben wir?;Which month do we have?
der erste Monat im Jahr ist der Januar.;The first month of the year is january.
Der zweite Monat ist der Februar.;The second month of the year is february.
der dritte Monat ist der März.;the third month of the year is march.
der vierte Monat ist der April.;the fourth month of the year is april.
Der fünfte Monat ist der Mai.;the fifth month of the year is may.
Der sechste Monat ist der Juni.;the sixth month of the year is june.
Der siebente Monat ist der Juli.;the seventh month of the year is july.
Der achte Monat ist der August.;the eight month of the year is august.
Der neunte Monat ist der September.;the ninth month of the year is september.
Der zehnte Monat ist der Oktober.;the tenth month of the year is october.
Der elfte Monat ist der November.;the eleventh month of the year is november.
Der zwölfte Monat ist der Dezember.;the twelfth month of the year is december.
