Nr,Station,Ort,Latitude,Longitude,Erklärung
1,Main Tower,Frankfurt – Main Tower,50.1096,8.6724,"Der Main Tower in Frankfurt am Main ist ein 200 Meter hoher Wolkenkratzer mit öffentlich zugänglicher Aussichtsplattform. Das 2000 eröffnete Hochhaus prägt mit seiner Glasfassade die Frankfurter Skyline und zählt zu den höchsten Gebäuden Deutschlands; von 198 Metern Höhe genießt man einen Rundblick über die Stadt."
2,Finanzmetropole,Frankfurt – Römer,50.1106,8.6821,"Frankfurt am Main zählt als Finanzmetropole zu den wichtigsten Bankenstandorten Europas. Sitz der Europäischen Zentralbank und zahlreicher Großbanken, verleiht die Skyline mit den meisten Wolkenkratzern Deutschlands der Stadt den Spitznamen „Mainhattan“."
3,Kurtradition,Wiesbaden – Kurhaus,50.0826,8.2435,"Wiesbaden gilt seit dem 19. Jahrhundert als mondäne Kurstadt. Das neoklassizistische Kurhaus von 1907, Thermalquellen und weitläufige Kurparks spiegeln bis heute die historische Wellness-Kultur wider."
4,Johannes Gutenberg,Mainz – Gutenberg-Museum,49.9983,8.2711,"Johannes Gutenberg revolutionierte um 1450 in Mainz den Buchdruck mit beweglichen Lettern. Das Gutenberg-Museum zeigt u. a. zwei Gutenberg-Bibeln und demonstriert an historischen Pressen die Technik, die das Lesen weltweit veränderte."
5,Weinfest,Rüdesheim – Drosselgasse,49.9992,7.9433,"Die Drosselgasse in Rüdesheim ist eine 144 Meter lange Fachwerkgasse voller Weinstuben. Ihre Weinfeste mit Live-Musik repräsentieren die gesellige Rheingauer Weinkultur."
6,Helene Fischer,Wöllstein – Geburtsort,49.804,7.967,"Helene Fischer (*1984) wuchs in Wöllstein auf und wurde zur erfolgreichsten deutschen Schlagersängerin. Hits wie „Atemlos durch die Nacht“ und zahlreiche Auszeichnungen prägen ihre Karriere."
7,Loreley,St. Goar – Loreleyfelsen,50.1389,7.7089,"Der 132 Meter hohe Loreley-Felsen am Rhein ist sagenumwoben: Eine Nixe soll mit ihrem Gesang Schiffer ins Verderben gelockt haben. Heute ist der Aussichtspunkt Teil des UNESCO-Welterbes Oberes Mittelrheintal."
8,Weinbau,Boppard – Rheinschleife,50.1172,7.6071,"An der Rheinschleife bei Boppard wachsen auf steilen Schieferhängen Riesling-Reben. Der Bopparder Hamm dokumentiert seit Jahrhunderten die Weinbautradition des Mittelrheins."
9,Deutsches Eck,Koblenz – Deutsches Eck,50.3569,7.5881,"Am Deutschen Eck fließen Mosel und Rhein zusammen. Das Reiterstandbild Kaiser Wilhelms I. (1897) erinnert an die Reichsgründung und wurde nach 1945 zum Symbol der deutschen Einheit."
10,Autobahn Erlebnis,Nürburgring – GP-Strecke,50.3341,6.9476,"Deutschlands Autobahnen sind für fehlende Tempolimits bekannt. Auf der Nordschleife des Nürburgrings können Fahrer Hochgeschwindigkeit legal erleben – ein kontrolliertes Pendant zum Autobahnrausch."
11,Beethoven,Bonn – Beethoven-Haus,50.7368,7.101,"Ludwig van Beethoven (1770–1827) wurde in Bonn geboren. Sein Geburtshaus bewahrt Originalinstrumente und Handschriften des Komponisten, dessen Werke die klassische Musik bis heute prägen."
12,Kölner Karneval,Köln – Alter Markt,50.9403,6.957,"Der Kölner Karneval, seit 1823 organisiert, verwandelt die Stadt vom 11. 11. bis Aschermittwoch in ein buntes Volksfest. Höhepunkt ist der Rosenmontagszug mit Hunderttausenden kostümierten Jecken."
13,Konrad Adenauer,Köln – Adenauer-Haus,50.9413,6.9583,"Konrad Adenauer (1876–1967) war Kölner Oberbürgermeister und erster Bundeskanzler der Bundesrepublik. Sein Wohnhaus in Rhöndorf erzählt von seinem Einsatz für Wiederaufbau und Westbindung."
14,Neandertaler Fund,Mettmann – Neanderthal Museum,51.2275,6.937,"Der 1856 gefundene Neandertaler-Schädel revolutionierte das Verständnis menschlicher Evolution. Das Neanderthal Museum veranschaulicht die Geschichte unserer fossilen Verwandten."
15,Rheinmetropole,Düsseldorf – Rheinturm,51.2277,6.7735,"Düsseldorf verbindet Altstadt, Mode- und Messekultur mit moderner Architektur im Medienhafen. Der Rheinturm bietet einen Panoramablick auf die Rheinmetropole und ihre Kunst- und Shopping-Szene."
16,Stahl & Kultur,Duisburg – Innenhafen,51.4344,6.7573,"Der Duisburger Innenhafen, einst Speicher- und Handelshafen, wurde zum Kultur- und Büroquartier umgestaltet. Restaurierte Speicher und Museen zeigen den erfolgreichen Strukturwandel von Stahl zu Kultur."
17,Ruhrindustrie,Essen – Zeche Zollverein,51.4839,7.0226,"Die stillgelegte Zeche Zollverein, ein Bauhaus-Industrie-Ensemble, ist UNESCO-Welterbe. Ausstellungen und Events lassen die Bergbaugeschichte des Ruhrgebiets lebendig werden."
18,UNESCO Zollverein,Essen – Kokerei Zollverein,51.49,7.0375,"Die Kokerei Zollverein verarbeitete bis 1993 Kohle zu Koks und ist heute Teil des Weltkulturerbes. Besucher erkunden Fördertürme, Öfen und Aussichtsplattformen eines herausragenden Industriedenkmals."
